"Händlerbund","Händlerbund"
"Legal Text","Rechtstexte"
"Access Token","Access Token"
"Import Scheduling","Automatischer Import"
"Updates are executed daily at 1am.","Täglicher Update um 1:00 Uhr"
"Mapping","Zuordnung"
"Import Legal Text","Rechtstexte Importieren"
"Destination","Ziel"
"Mode","Modus"
"Add Row","Hinzufügen"
"Delete","Löschen"
"Import legal text success","Importiervorgang abgeschlossen"
"Allgemeine Geschaeftsbedingungen","Allgemeine Geschaeftsbedingungen"
"Rückgaberecht für Verbraucher","Rückgaberecht für Verbraucher"
"Widerrufsbelehrung","Widerrufsbelehrung"
"Bedingungen für Zahlung und Versand","Bedingungen für Zahlung und Versand"
"Datenschutzerklärung","Datenschutzerklärung"
"Impressum","Impressum"
"Batteriehinweise","Batteriehinweise"
"Standard","Standard"
"Plain","Text"
"Classes","CSS-Class"
"Head Classes","CSS-Class / JS-Standard"
"CMS Pages","CMS Seiten"
"CMS Blocks","CMS Blöcke"
"Agreements","Bestellbedingungen"
"Request error for URL: ""%s""","Anfragefehler für die URL: ""%s"""
"Document ""%s"" (%s) not available","Dokument ""%s"" (%s) ist nicht verfügbar"
"Wrong API key: ""%s""","Falschen API Schlüssel: ""%s"""
"Shop not found for Access Token: ""%s""","Keine Instanz gefunden für Access Token: ""%s"""
"Empty response for: ""%s"" (%s)","Leere Antwort für: ""%s"" (%s)"
"Unknown model: ""%s""","Unbekanntes Model: ""%s"""
"Unknown model entity: ""%s"" (%s)","Model Instanz unbekannt: ""%s"" (%s)"
"[Store Id: %s] %s","[Store Id: %s] %s"
"Are your sure? Destination content will be overwritten.","Sind Sie sich sicher? Inhalt der Ziele wird überschrieben."
"Client Apply Error","Browser Fehler"
"Please save settings before process import.","Bitte speichre Sie zunächst die Einstellungen."
"Yes","Ja"
"No","Nein"
