"Händlerbund","Händlerbund"
"Legal Text","Legal Text"
"Access Token","Access Token"
"Import Scheduling","Import Scheduling"
"Updates are executed daily at 1am.","Updates are executed daily at 1am."
"Mapping","Mapping"
"Import Legal Text","Import Legal Text"
"Destination","Destination"
"Mode","Mode"
"Add Row","Add Row"
"Delete","Delete"
"Import legal text success","Import legal text success"
"Allgemeine Geschaeftsbedingungen","Allgemeine Geschaeftsbedingungen"
"Rückgaberecht für Verbraucher","Rückgaberecht für Verbraucher"
"Widerrufsbelehrung","Widerrufsbelehrung"
"Bedingungen für Zahlung und Versand","Bedingungen für Zahlung und Versand"
"Datenschutzerklärung","Datenschutzerklärung"
"Impressum","Impressum"
"Batteriehinweise","Batteriehinweise"
"Standard","Standard"
"Plain","Plain"
"Classes","Classes"
"Head Classes","Head Classes"
"CMS Pages","CMS Pages"
"CMS Blocks","CMS Blocks"
"Agreements","Agreements"
"Request error for URL: ""%s""","Request error for URL: ""%s"""
"Document ""%s"" (%s) not available","Document ""%s"" (%s) not available"
"Wrong API key: ""%s""","Wrong API key: ""%s"""
"Shop not found for Access Token: ""%s""","Shop not found for Access Token: ""%s"""
"Empty response for: ""%s"" (%s)","Empty response for: ""%s"" (%s)"
"Unknown model: ""%s""","Unknown model: ""%s"""
"Unknown model entity: ""%s"" (%s)","Unknown model entity: ""%s"" (%s)"
"[Store Id: %s] %s","[Store Id: %s] %s"
"Are your sure? Destination content will be overwritten.","Are your sure? Destination content will be overwritten."
"Client Apply Error","Client Apply Error"
"Please save settings before process import.","Please save settings before process import."
"Yes","Yes"
"No","No"
"Active","Active"
"[Store Id: %s] Mapping is undefined.","[Store Id: %s] Mapping is undefined."
"[Store Id: %s] Access Token is undefined.","[Store Id: %s] Access Token is undefined."
